ShprNo,AWB,Delivery_Date,CODAmount,CODCurrency,O_CODAmount,Aramex_Inv_date,TOKENNO,order_number
11150.0,8596269014,2024-03-05,0.0,USD,5.23,2024-03-08,1103245TT,400613.0
11150.0,8596269015,2024-03-05,0.0,USD,20.055,2024-03-08,1103245TT,400614.0
11150.0,8596269018,2024-03-05,0.0,USD,13.175,2024-03-08,1103245TT,400617.0
11150.0,8596269020,2024-03-05,0.0,USD,7.445,2024-03-08,1103245TT,400619.0
11150.0,8596269021,2024-03-05,0.0,USD,5.06,2024-03-08,1103245TT,400620.0
11150.0,8596269023,2024-03-05,0.0,USD,5.23,2024-03-08,1103245TT,400622.0
11150.0,8596269026,2024-03-05,0.0,USD,7.35,2024-03-08,1103245TT,400625.0
11150.0,8596269029,2024-03-05,0.0,USD,14.85,2024-03-08,1103245TT,400628.0
11150.0,8596269030,2024-03-05,0.0,USD,20.065,2024-03-08,1103245TT,400629.0
11150.0,8596269031,2024-03-05,0.0,USD,9.27,2024-03-08,1103245TT,400630.0
11150.0,8596269032,2024-03-05,0.0,USD,10.645,2024-03-08,1103245TT,400631.0
11150.0,8596269033,2024-03-05,0.0,USD,18.69,2024-03-08,1103245TT,400632.0
11150.0,8596269034,2024-03-05,0.0,USD,21.375,2024-03-08,1103245TT,400633.0
11150.0,8596269035,2024-03-05,0.0,USD,6.34,2024-03-08,1103245TT,400634.0
11150.0,8596269036,2024-03-05,0.0,USD,12.64,2024-03-08,1103245TT,400635.0
11150.0,8596269038,2024-03-05,0.0,USD,4.425,2024-03-08,1103245TT,400637.0
11150.0,8596269039,2024-03-05,0.0,USD,15.375,2024-03-08,1103245TT,400638.0
11150.0,8596269044,2024-03-05,0.0,USD,5.995,2024-03-08,1103245TT,400643.0
11150.0,8596269049,2024-03-05,0.0,USD,7.565,2024-03-08,1103245TT,400648.0
11150.0,8596269050,2024-03-05,0.0,USD,13.075,2024-03-08,1103245TT,400649.0
11150.0,8596269053,2024-03-05,0.0,USD,14.02,2024-03-08,1103245TT,400652.0
11150.0,8596269055,2024-03-05,0.0,USD,15.89,2024-03-08,1103245TT,400654.0
11150.0,8596269056,2024-03-05,0.0,USD,6.125,2024-03-08,1103245TT,400655.0
11150.0,8596269057,2024-03-05,0.0,USD,12.07,2024-03-08,1103245TT,400656.0
11150.0,8596269059,2024-03-05,0.0,USD,12.59,2024-03-08,1103245TT,400658.0
11150.0,8596269061,2024-03-05,0.0,USD,13.065,2024-03-08,1103245TT,400660.0
11150.0,8596269062,2024-03-05,0.0,USD,11.5,2024-03-08,1103245TT,400661.0
11150.0,8596269066,2024-03-05,0.0,USD,4.76,2024-03-08,1103245TT,400665.0
11150.0,8596269067,2024-03-05,0.0,USD,14.47,2024-03-08,1103245TT,400666.0
11150.0,8596269068,2024-03-05,0.0,USD,14.95,2024-03-08,1103245TT,400667.0
11150.0,8596269069,2024-03-05,0.0,USD,9.055,2024-03-08,1103245TT,400668.0
11150.0,8596269070,2024-03-05,0.0,USD,16.04,2024-03-08,1103245TT,400669.0
11150.0,8596269073,2024-03-05,0.0,USD,9.825,2024-03-08,1103245TT,400672.0
